id;cod_sucursal;num_apolce;cod_cobertura;dat_inicio_vigencia_apolice;dat_fim_vigencia_apolice;dat_inicio_vigencia_documento;dat_fim_vigencia_documento;num_cep;complemento_cep;cod_tipo_seguro;des_tipo_seguro;cod_congenere;cod_modalidade;des_modalidade;cod_grau_risco;des_grau_risco;flg_condominio_horizontal;vlr_maximo_lmi;vlr_score_serasa;qtdsin;ind_vert1;uf;ibgregmac;ibgregmso;ibgregmic;rndpcap_str;indvert_str;densidemo_mun;qtdemp_mun;indvlr;tmpapl;exp;lmiexp;apltratada;cobdes;FAIXA_SCORE_SERASA;BASAL;PARSEV;par_tpseg;par_mdl;par_restip;par_regmso;par_regmic;par_regmac;par_indvert_str;par_uf;par_renda_alta;par_no_arvore;par_chorizontal;par_coef_X_qtdemp_mun;par_ind_vert1;par_ultimo_ano_modelagem;premio_estimado;lmi_exc;premio_exc;premio_estimado_reset;premio_seguranca
282;51;129;64;49;57;50;60;22030;30;1;0;-1;1;0;2.0;0;-3;5000.0;656;;0.9903;6;3;3301;330101;3680.56;0.3762;5104.9533;192065;;730;0.163013699;815.0684932;51129;0;2;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;-0.82941023;0;0;0;0;1.897318818;0.474329705
287;51;137;64;53;62;55;67;4560;0;1;0;-1;1;0;2.0;0;-3;5000.0;922;;0.2479;9;3;3810;381007;4415.08;0.2825;7782.7236;565893;;730;0.165753425;828.7671233;51137;0;7;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
293;51;139;64;53;62;55;67;9291;210;1;0;-1;1;0;2.0;0;-3;5000.0;916;;0.193;9;3;3810;381007;2232.75;0.1776;4038.887;25376;;730;0.165753425;828.7671233;51139;0;7;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
299;51;143;64;56;67;8;72;8717;650;1;0;-1;1;0;;2;1;6000.0;-1;;0.0332;9;3;3810;381004;981.57;0.1444;577.4158;11789;;730;0.167123288;1002.739726;51143;0;0;4.257353446;-1.609288469;0.297264283;0;0.0;0.0;0;0;0;0;0;0;0.230843282;0;0.0;0;0;0;0;23.95489151;5.988722878
305;51;150;64;0;0;1;0;1423;1;1;0;-1;1;0;2.0;0;-3;5000.0;61;;0.9324;9;3;3810;381007;4371.0;0.2825;7782.7236;565893;;1096;0.333941606;1669.708029;51150;0;0;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;-0.82941023;0;0;0;0;1.897318818;0.474329705
310;51;155;64;56;67;58;72;1331;1;1;0;-1;1;0;2.0;0;-3;5000.0;724;;0.9266;9;3;3810;381007;4476.65;0.2825;7782.7236;565893;;730;0.167123288;835.6164384;51155;0;3;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;-0.82941023;0;0;0;0;1.897318818;0.474329705
318;51;158;64;6;6;6;7;2710;70;1;0;-1;1;0;1.0;1;2;6000.0;910;;-3.0;9;3;3810;381007;947.85;0.2825;7782.7236;565893;;730;0.17260274;1035.616438;51158;0;6;4.257353446;-1.609288469;0.297264283;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;19.01692286;4.754230715
323;51;162;64;6;6;33;7;17800;0;1;0;-1;1;0;1.0;1;2;6000.0;594;;0.0212;9;3;3812;381201;-3.0;0.0212;84.7687;1907;;730;0.17260274;1035.616438;51162;0;2;4.257353446;-1.609288469;0.297264283;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;19.01692286;4.754230715
329;51;168;64;6;6;6;7;1552;1;1;0;-1;1;0;2.0;0;-3;5000.0;846;;0.5197;9;3;3810;381007;2051.77;0.2825;7782.7236;565893;;730;0.17260274;863.0136986;51168;0;4;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
335;51;179;64;7;7;8;8;4152;40;1;0;-1;1;0;1.0;1;2;3000.0;934;;0.0998;9;3;3810;381007;1630.42;0.2825;7782.7236;565893;;730;0.173972603;521.9178082;51179;0;8;4.257353446;-2.275877579;0.297264283;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;9.764371014;2.441092753
342;51;195;64;10;10;12;47;7096;110;4;1;-1;1;0;1.0;1;2;6000.0;770;;0.029;9;3;3810;381002;1462.12;0.1184;4127.7037;30902;;730;0.176712329;1060.273973;51195;0;3;4.257353446;-1.609288469;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;14.12667673;3.531669183
351;51;197;64;10;10;12;61;29102;10;1;0;-1;1;0;2.0;0;-3;5000.0;877;;0.8005;2;3;3201;320104;519.28;0.3099;2128.3821;14063;;730;0.176712329;883.5616438;51197;0;5;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;-0.82941023;0;0;0;0;1.897318818;0.474329705
360;51;204;64;14;14;15;13;4717;0;1;0;-1;1;0;2.0;0;-3;5000.0;-1;;0.5333;9;3;3810;381007;3811.81;0.2825;7782.7236;565893;;730;0.178082192;890.4109589;51204;0;0;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
365;99;212;64;18;18;19;18;2313;1;2;2;-1;1;0;1.0;1;1;10000.0;923;;0.0089;9;3;3810;381007;1099.31;0.2825;7782.7236;565893;;1096;0.333941606;3339.416058;99212;0;7;4.257353446;-1.246549488;0.0;0;0.0;0.0;0;0;0;0;0;0;0.230843282;0;0.0;0;0;0;0;25.57581657;6.393954142
370;51;216;64;14;14;15;13;11075;400;1;0;-1;1;0;2.0;0;-3;5000.0;882;;0.8317;9;3;3810;381006;1160.36;0.6309;1543.4852;22570;;730;0.178082192;890.4109589;51216;0;5;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;-0.82941023;0;0;0;0;1.897318818;0.474329705
375;51;222;64;19;19;20;19;1311;200;1;0;-1;1;0;2.0;0;-3;5000.0;678;;0.9563;9;3;3810;381007;5922.13;0.2825;7782.7236;565893;;730;0.180821918;904.109589;51222;0;2;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;-0.82941023;0;0;0;0;1.897318818;0.474329705
380;51;223;64;21;21;21;58;12093;630;4;1;-1;1;0;1.0;1;1;6000.0;248;;-3.0;9;3;3815;381506;460.52;0.0798;477.2442;8740;;730;0.182191781;1093.150685;51223;0;1;4.257353446;-1.609288469;0.0;0;0.0;0.0;0;0;0;0;0;0;0.230843282;0;0.0;0;0;0;0;17.79483521;4.448708803
388;51;226;64;21;21;21;21;12221;150;1;0;-1;1;0;2.0;0;-3;5000.0;240;;0.0968;9;3;3815;381506;844.64;0.1759;617.8879;21957;;730;0.182191781;910.9589041;51226;0;1;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
394;51;227;64;21;21;21;21;22770;480;1;0;-1;1;0;1.0;1;1;6000.0;861;;0.0696;6;3;3301;330101;2373.04;0.3762;5104.9533;192065;;730;0.182191781;1093.150685;51227;0;4;4.257353446;-1.609288469;0.297264283;0;0.0;0.0;0;0;0;0;0;0;0.230843282;0;0.0;0;0;0;0;23.95489151;5.988722878
399;51;230;64;21;21;21;21;20271;90;1;0;-1;1;0;2.0;0;-3;5000.0;932;;0.9104;6;3;3301;330101;2584.19;0.3762;5104.9533;192065;;730;0.182191781;910.9589041;51230;0;8;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;-0.82941023;0;0;0;0;1.897318818;0.474329705
404;51;235;64;25;27;25;27;1141;0;1;0;-1;1;0;2.0;0;-3;5000.0;854;;0.0116;9;3;3810;381007;1205.24;0.2825;7782.7236;565893;;1096;0.333941606;1669.708029;51235;0;4;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
409;51;237;64;25;26;25;26;5036;110;1;0;-1;1;0;2.0;0;-3;5000.0;-1;;0.5083;9;3;3810;381007;1622.88;0.2825;7782.7236;565893;;730;0.184931507;924.6575342;51237;0;0;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
414;51;240;64;25;26;25;26;4202;21;1;0;-1;1;0;2.0;0;-3;5000.0;851;;0.5965;9;3;3810;381007;1979.03;0.2825;7782.7236;565893;;730;0.184931507;924.6575342;51240;0;4;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
429;51;278;64;11;11;13;10;3113;10;1;0;-1;1;0;2.0;0;-3;5000.0;-1;;0.4365;9;3;3810;381007;2808.86;0.2825;7782.7236;565893;;730;0.219178082;1095.890411;51278;0;0;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
437;51;287;64;15;15;16;14;22750;8;1;0;-1;1;0;2.0;0;-3;5000.0;-1;;0.6537;6;3;3301;330101;1134.69;0.3762;5104.9533;192065;;730;0.220547945;1102.739726;51287;0;0;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
449;51;298;64;15;15;16;14;17047;202;1;0;-1;1;0;2.0;0;-3;5000.0;450;;-3.0;9;3;3504;350402;-3.0;0.1216;539.9319;14111;;730;0.220547945;1102.739726;51298;0;1;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
462;51;304;64;22;22;22;22;13087;570;1;0;-1;1;0;2.0;0;-3;5000.0;-1;;0.3695;9;3;3505;350502;2644.5;0.2441;1447.6141;49753;;730;0.224657534;1123.287671;51304;0;0;4.257353446;-1.762887192;0.297264283;0;-1.321878565;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;4.348591379;1.087147845
