id;cod_sucursal;num_apolce;cod_cobertura;dat_inicio_vigencia_apolice;dat_fim_vigencia_apolice;dat_inicio_vigencia_documento;dat_fim_vigencia_documento;num_cep;complemento_cep;cod_tipo_seguro;des_tipo_seguro;cod_congenere;cod_modalidade;des_modalidade;cod_grau_risco;des_grau_risco;flg_condominio_horizontal;vlr_maximo_lmi;vlr_score_serasa;qtdsin;ind_vert1;uf;ibgregmac;ibgregmso;ibgregmic;rndpcap_str;indvert_str;densidemo_mun;qtdemp_mun;indvlr;tmpapl;exp;lmiexp;apltratada;cobdes;FAIXA_SCORE_SERASA;BASAL;PARSEV;par_tpseg;par_mdl;par_restip;par_regmso;par_regmic;par_regmac;par_indvert_str;par_uf;par_renda_alta;par_no_arvore;par_chorizontal;par_coef_X_qtdemp_mun;par_ind_vert1;par_ultimo_ano_modelagem;premio_estimado;lmi_exc;premio_exc;premio_estimado_reset;premio_seguranca
43;81;9;2;10/04/2023 00:00;10/04/2024 00:00;10/04/2023 00:00;10/04/2024 00:00;11441;290;2;RENOVACAO NA CIA;-1;2;VERANEIO;2;APARTAMENTO;-3;10000;943;;0.3333;SP;3;3810;381006;1363.7;0.1089;2160.7622;7009;;366;0.860655738;8606.557377;819;2-DanosEletricos;(929.0, 950.0];6.8481;-2.985128602;-0.2372;-0.4103;0;0;0;0;0;0;0;-0.6866;0;-0.00402597;0;0;0;0;0;12.48896467;0
48;81;11;2;29/03/2023 00:00;29/03/2024 00:00;29/03/2023 00:00;21/08/2023 00:00;49050;70;2;RENOVACAO NA CIA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;5000;716;;-3;SE;2;2802;280201;832.62;0.2236;3431.0561;14574;;366;0.827868852;4139.344262;8111;2-DanosEletricos;(686.0, 821.0];6.8481;-3.675124402;-0.2372;0;1.0144;0;0;0;0;0;0;-0.4468;0;-0.008371306;0;0;0;0;0;32.9504294;0
52;81;13;2;03/04/2023 00:00;03/04/2024 00:00;03/04/2023 00:00;03/04/2024 00:00;2435;0;2;RENOVACAO NA CIA;-1;1;HABITUAL;2;APARTAMENTO;-3;2000;894;;0.3248;SP;3;3810;381007;2223.03;0.2825;7782.7236;565893;;366;0.841530055;1683.060109;8113;2-DanosEletricos;(867.0, 894.0];6.8481;-4.837868361;-0.2372;0;0;0;0;0;0;0;0;-0.7106;0;-0.325048939;0;0;0;0;0;2.090456995;0
55;51;18;2;24/08/2021 00:00;24/08/2023 00:00;24/08/2021 00:00;10/06/2023 02:36;21540;70;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;752;;0.1553;RJ;3;3301;330101;851.25;0.3762;5104.9533;192065;;730;0.116438356;582.1917808;5118;2-DanosEletricos;(686.0, 821.0];6.8481;-3.675124402;0;0;0;-0.7255;0;0;0;0;0;-0.7106;0;-0.110322136;0;0;0;0;0;5.086314302;0
59;50;19;2;29/06/2021 00:00;29/06/2023 00:00;29/06/2021 00:00;29/06/2023 00:00;22421;0;5;RENOVAÇÃO OUTRA CIA;177;1;HABITUAL;2;APARTAMENTO;-3;30000;684;;0.9575;RJ;3;3301;330101;5923.22;0.3762;5104.9533;192065;;730;0.039726027;1191.780822;5019;2-DanosEletricos;(484.0, 686.0];6.8481;-2.146973427;-0.2372;0;0;-0.7255;0;0;0;0;0;-0.7106;0;-0.110322136;0;0;0;0;0;18.49507419;0
64;51;20;2;24/08/2021 00:00;24/08/2023 00:00;24/08/2021 00:00;24/08/2023 00:00;87050;730;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;853;;0.251;PR;4;4102;410207;871.16;0.195;797.9181;24276;;730;0.116438356;582.1917808;5120;2-DanosEletricos;(821.0, 867.0];6.8481;-3.675124402;0;0;0;0.5512;0;0;0;0;0;-0.2698;0;-0.013944134;0;0;0;0;0;31.20041712;0
66;51;23;2;25/08/2021 00:00;25/08/2023 00:00;05/08/2022 00:00;25/08/2023 00:00;7791;60;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;2;5000;-1;;-3;SP;3;3810;381005;-3;0.1017;549.4172;2152;;730;0.117808219;589.0410959;5123;2-DanosEletricos;(-1.001, 236.0];6.8481;-3.675124402;0;0;0;0;0;0;0;0;0;-0.2698;0;-0.001236109;0;0;0;0;0;18.20942814;0
71;51;26;2;26/08/2021 00:00;26/08/2024 00:00;26/08/2021 00:00;20/06/2023 00:00;21051;901;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;887;;-3;RJ;3;3301;330101;-3;-3;5104.9533;192065;;1096;0.333941606;1669.708029;5126;2-DanosEletricos;(867.0, 894.0];6.8481;-3.675124402;0;0;0;-0.7255;0;0;0;0;0;-0.7106;0;-0.110322136;0;0;0;0;0;5.086314302;0
76;51;28;2;26/08/2021 00:00;26/08/2023 00:00;26/08/2021 00:00;26/08/2023 00:00;49048;430;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;902;;0.2425;SE;2;2802;280201;1020.09;0.2236;3431.0561;14574;;730;0.119178082;595.890411;5128;2-DanosEletricos;(894.0, 915.0];6.8481;-3.675124402;0;0;0;0;0;0;0;0;0;-0.6866;0;-0.008371306;0;0;0;0;0;11.91745692;0
81;51;30;2;27/08/2021 00:00;27/08/2024 00:00;27/08/2021 00:00;27/08/2024 00:00;11740;0;1;APOLICE NOVA;-1;2;VERANEIO;1;CASAS DE ALVENARIA;2;2000;910;;0.0602;SP;3;3507;350701;-3;0.0602;158.9839;2163;;1096;0.333941606;667.8832117;5130;2-DanosEletricos;(894.0, 915.0];6.8481;-4.837868361;0;-0.4103;1.0144;0.5512;0;0;0;0;0;0;0;-0.001242427;0;0;0;0;0;23.67191234;0
87;51;32;2;28/08/2021 00:00;28/08/2023 00:00;28/08/2021 00:00;28/08/2023 00:00;24754;240;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;5000;-1;;0;RJ;3;3301;330101;1956.71;0.0793;4106.2595;12080;;730;0.121917808;609.5890411;5132;2-DanosEletricos;(-1.001, 236.0];6.8481;-3.675124402;0;0;1.0144;-0.7255;0;0;0;0;0;-0.4468;0;-0.006938752;0;0;0;0;0;20.24963657;0
92;51;34;2;30/08/2021 00:00;30/08/2024 00:00;30/08/2021 00:00;08/11/2023 00:00;71675;80;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;25000;913;;0;DF;5;5301;530101;5848.69;0.2565;489.9215;92951;;1096;0.333941606;8348.540146;5134;2-DanosEletricos;(894.0, 915.0];6.8481;-2.267676205;0;0;1.0144;0;0;0;0;0;0;-0.2698;0;-0.053391054;0;0;0;0;0;194.7336525;0
98;51;35;2;30/08/2021 00:00;30/08/2023 00:00;30/08/2021 00:00;30/08/2023 00:00;12232;700;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;3000;488;;0.0019;SP;3;3815;381506;542.87;0.1759;617.8879;21957;;730;0.124657534;373.9726027;5135;2-DanosEletricos;(484.0, 686.0];6.8481;-4.28377517;0;0;1.0144;0.5512;0;0;0;0;0;-0.2698;0;-0.012612101;0;0;0;0;0;46.87632398;0
101;51;36;2;30/08/2021 00:00;30/08/2023 00:00;29/08/2022 00:00;30/08/2023 00:00;36025;260;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;1531;31;;0.6936;MG;3;3112;311201;1577.95;0.2937;381.6689;20235;;730;0.124657534;190.8506849;5136;2-DanosEletricos;(-1.001, 236.0];6.8481;-5.241679811;0;0;0;0.2969;0;0;0;0;0;-0.2698;0;-0.011622984;0;0;0;0;0;5.062686165;0
107;51;38;2;30/08/2021 00:00;30/08/2024 00:00;30/08/2021 00:00;30/08/2024 00:00;9230;120;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;12000;912;;0.0252;SP;3;3810;381007;1012.39;0.1776;4038.887;25376;;1096;0.333941606;4007.29927;5138;2-DanosEletricos;(894.0, 915.0];6.8481;-2.826237613;0;0;0;0;0;0;0;0;0;-0.6866;0;-0.014575974;0;0;0;0;0;27.6793435;0
112;51;39;2;31/08/2021 00:00;31/08/2023 00:00;31/08/2021 00:00;31/08/2023 00:00;13504;60;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;787;;0.1788;SP;3;3811;381103;1385.72;0.0647;396.9054;7226;;730;0.126027397;630.1369863;5139;2-DanosEletricos;(686.0, 821.0];6.8481;-3.675124402;0;0;0;0.8598;0;0;0;0;0;-0.2698;0;-0.004150614;0;0;0;0;0;42.89799053;0
115;51;41;2;31/08/2021 00:00;31/08/2023 00:00;31/08/2021 00:00;31/08/2023 00:00;18103;50;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;833;;0.0783;SP;3;3808;380804;859.54;0.0937;1415.3421;25320;;730;0.126027397;630.1369863;5141;2-DanosEletricos;(821.0, 867.0];6.8481;-3.675124402;0;0;0;0.5512;0;0;0;0;0;-0.2698;0;-0.014543808;0;0;0;0;0;31.18171267;0
