id;cod_sucursal;num_apolce;cod_cobertura;dat_inicio_vigencia_apolice;dat_fim_vigencia_apolice;dat_inicio_vigencia_documento;dat_fim_vigencia_documento;num_cep;complemento_cep;cod_tipo_seguro;des_tipo_seguro;cod_congenere;cod_modalidade;des_modalidade;cod_grau_risco;des_grau_risco;flg_condominio_horizontal;vlr_maximo_lmi;vlr_score_serasa;qtdsin;ind_vert1;uf;ibgregmac;ibgregmso;ibgregmic;rndpcap_str;indvert_str;densidemo_mun;qtdemp_mun;indvlr;tmpapl;exp;lmiexp;apltratada;cobdes;FAIXA_SCORE_SERASA;BASAL;PARSEV;par_tpseg;par_mdl;par_restip;par_regmso;par_regmic;par_regmac;par_indvert_str;par_uf;par_renda_alta;par_no_arvore;par_chorizontal;par_coef_X_qtdemp_mun;par_ind_vert1;par_ultimo_ano_modelagem;premio_estimado;lmi_exc;premio_exc;premio_estimado_reset;premio_seguranca
171;99;72;64;04/06/2021 00:00;04/06/2023 00:00;04/06/2021 00:00;04/06/2023 00:00;11444;670;2;RENOVACAO NA CIA;-1;2;VERANEIO;1;CASAS DE ALVENARIA;2;50000;913;;0.0106;SP;3;3810;381006;342.12;0.1089;2160.7622;7009;;730;0.005479452;273.9726027;9972;64-Vendaval;(894.0, 915.0];4.257353446;-0.557473879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.44243348;10.11060837
181;51;77;64;15/09/2021 00:00;15/09/2024 00:00;15/09/2021 00:00;15/09/2024 00:00;89235;430;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;6000;858;;0.0099;SC;4;4202;420203;728.86;0.1576;512.7124;21383;;1096;0.333941606;2003.649635;5177;64-Vendaval;(821.0, 867.0];4.257353446;-1.609288469;0.297264283;0;0;1.524868712;0;0;0;0;0;0;0;0;0;0;0;0;0;87.3740189;21.84350473
186;51;80;64;15/09/2021 00:00;15/09/2023 00:00;15/09/2021 00:00;15/09/2023 00:00;7022;0;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;626;;0.3367;SP;3;3810;381002;1170.17;0.1184;4127.7037;30902;;730;0.146575342;732.8767123;5180;64-Vendaval;(484.0, 686.0];4.257353446;-1.762887192;0.297264283;0;-1.321878565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.348591379;1.087147845
191;51;82;64;15/09/2021 00:00;15/09/2023 00:00;15/09/2021 00:00;15/09/2023 00:00;4125;20;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;1;3000;869;;0.6324;SP;3;3810;381007;4245.54;0.2825;7782.7236;565893;;730;0.146575342;439.7260274;5182;64-Vendaval;(867.0, 894.0];4.257353446;-2.275877579;0.297264283;0;0;0;0;0;0;0;0;0;0.230843282;0;0;0;0;0;0;12.29980529;3.074951321
196;50;83;64;02/01/2022 00:00;02/01/2025 00:00;02/01/2022 00:00;02/01/2025 00:00;1526;0;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;50000;837;;0.8656;SP;3;3810;381007;2368.02;0.2825;7782.7236;565893;;1096;0.333941606;16697.08029;5083;64-Vendaval;(821.0, 867.0];4.257353446;-0.557473879;0.297264283;0;-1.321878565;0;0;0;0;0;0;0;0;0;-0.82941023;0;0;0;0;6.333512977;1.583378244
201;51;87;64;17/09/2021 00:00;17/09/2024 00:00;17/09/2021 00:00;17/09/2024 00:00;4737;0;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;820;;0.2231;SP;3;3810;381007;4188.71;0.2825;7782.7236;565893;;1096;0.333941606;1669.708029;5187;64-Vendaval;(686.0, 821.0];4.257353446;-1.762887192;0.297264283;0;-1.321878565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.348591379;1.087147845
207;51;90;64;17/09/2021 00:00;17/09/2023 00:00;17/09/2021 00:00;17/09/2023 00:00;4358;110;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;3000;824;;0.0383;SP;3;3810;381007;2008.26;0.2825;7782.7236;565893;;730;0.149315068;447.9452055;5190;64-Vendaval;(821.0, 867.0];4.257353446;-2.275877579;0.297264283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.764371014;2.441092753
212;51;91;64;17/09/2021 00:00;17/09/2024 00:00;17/09/2021 00:00;17/09/2024 00:00;22280;30;1;APOLICE NOVA;-1;1;HABITUAL;2;APARTAMENTO;-3;5000;775;;0.8971;RJ;3;3301;330101;3886.71;0.3762;5104.9533;192065;;1096;0.333941606;1669.708029;5191;64-Vendaval;(686.0, 821.0];4.257353446;-1.762887192;0.297264283;0;-1.321878565;0;0;0;0;0;0;0;0;0;-0.82941023;0;0;0;0;1.897318818;0.474329705
222;51;93;64;18/09/2021 00:00;18/09/2024 00:00;18/09/2021 00:00;09/08/2023 00:00;4256;240;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;6000;592;;0.046;SP;3;3810;381007;1171.4;0.2825;7782.7236;565893;;1096;0.333941606;2003.649635;5193;64-Vendaval;(484.0, 686.0];4.257353446;-1.609288469;0.297264283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.01692286;4.754230715
228;50;95;64;04/02/2022 00:00;04/02/2024 00:00;04/02/2022 00:00;04/02/2024 00:00;31155;700;1;APOLICE NOVA;-1;1;HABITUAL;1;CASAS DE ALVENARIA;2;7000;697;;0.8242;MG;3;3104;310401;2739.17;0.3297;7505.6011;108931;;730;0.34109589;2387.671233;5095;64-Vendaval;(686.0, 821.0];4.257353446;-1.489911611;0.297264283;0;0;0;0;0;0;0;0;0;0;0;-0.82941023;0;0;0;0;9.349247766;2.337311942
